CoID,Date,CostCtr,   Ces   ,  Stops  ,  GP Dollars  
HJL,5/1/2019,5130,"2,507",76,"16,995"
HJL,5/1/2019,5200,"5,431",62,"31,608"
HJL,5/1/2019,5150,"1,099",76,"6,915"
HJL,5/2/2019,5110,"7,461",32,"43,903"
HJL,5/2/2019,5120,"10,331",101,"52,173"
HJL,5/2/2019,5130,"3,444",79,"23,349"
HJL,5/2/2019,5200,"7,461",63,"43,426"
HJL,5/2/2019,5150,"1,510",78,"9,501"
HJL,5/3/2019,5110,"6,284",31,"36,975"
HJL,5/3/2019,5120,"8,701",100,"43,939"
HJL,5/3/2019,5130,"2,900",78,"19,664"
HJL,5/3/2019,5200,"6,284",62,"36,573"
HJL,5/3/2019,5150,"1,272",78,"8,001"
HJL,5/6/2019,5110,"4,301",30,"25,307"
HJL,5/6/2019,5120,"5,955",94,"30,074"
HJL,5/6/2019,5130,"1,985",74,"13,459"
HJL,5/6/2019,5200,"4,301",59,"25,032"
HJL,5/6/2019,5150,871,74,"5,476"
HJL,5/7/2019,5110,"5,538",31,"32,585"
HJL,5/7/2019,5120,"7,668",100,"38,722"
HJL,5/7/2019,5130,"2,556",78,"17,329"
HJL,5/7/2019,5200,"5,538",62,"32,230"
HJL,5/7/2019,5150,"1,121",76,"7,051"
HJL,5/8/2019,5110,"5,168",31,"30,406"
HJL,5/8/2019,5120,"7,155",98,"36,133"
HJL,5/8/2019,5130,"2,385",76,"16,170"
HJL,5/8/2019,5200,"5,168",62,"30,075"
HJL,5/8/2019,5150,"1,046",76,"6,580"
HJL,5/9/2019,5110,"6,590",32,"38,774"
HJL,5/9/2019,5120,"9,124",101,"46,077"
HJL,5/9/2019,5130,"3,041",79,"20,621"
HJL,5/9/2019,5200,"6,590",63,"38,352"
HJL,5/9/2019,5150,"1,334",78,"8,391"
HJL,5/10/2019,5110,"5,293",31,"31,145"
HJL,5/10/2019,5120,"7,329",100,"37,011"
HJL,5/10/2019,5130,"2,443",78,"16,563"
HJL,5/10/2019,5200,"5,293",62,"30,806"
HJL,5/10/2019,5150,"1,071",78,"6,740"
HJL,5/13/2019,5110,"4,981",30,"29,307"
HJL,5/13/2019,5120,"6,897",94,"34,828"
HJL,5/13/2019,5130,"2,299",74,"15,586"
HJL,5/13/2019,5200,"4,981",59,"28,989"
HJL,5/13/2019,5150,"1,008",74,"6,342"
HJL,5/14/2019,5110,"5,883",31,"34,615"
HJL,5/14/2019,5120,"8,146",100,"41,135"
HJL,5/14/2019,5130,"2,715",78,"18,409"
HJL,5/14/2019,5200,"5,883",62,"34,239"
HJL,5/14/2019,5150,"1,191",76,"7,491"
HJL,5/15/2019,5110,"5,273",31,"31,026"
HJL,5/15/2019,5120,"7,301",98,"36,870"
HJL,5/15/2019,5130,"2,434",76,"16,500"
HJL,5/15/2019,5200,"5,273",62,"30,689"
HJL,5/15/2019,5150,"1,067",76,"6,714"
HJL,5/16/2019,5110,"6,943",32,"40,855"
HJL,5/16/2019,5120,"9,614",101,"48,551"
HJL,5/16/2019,5130,"3,205",79,"21,728"
HJL,5/16/2019,5200,"6,943",63,"40,411"
HJL,5/16/2019,5150,"1,406",78,"8,841"
HJL,5/17/2019,5110,"5,763",31,"33,908"
HJL,5/17/2019,5120,"7,979",100,"40,295"
HJL,5/17/2019,5130,"2,660",78,"18,033"
HJL,5/17/2019,5200,"5,763",62,"33,539"
HJL,5/17/2019,5150,"1,167",78,"7,338"
HJL,5/20/2019,5110,"6,832",30,"40,198"
HJL,5/20/2019,5120,"9,459",94,"47,770"
HJL,5/20/2019,5130,"3,153",74,"21,378"
HJL,5/20/2019,5200,"6,832",59,"39,761"
HJL,5/20/2019,5150,"1,383",74,"8,699"
HJL,5/21/2019,5110,"7,733",31,"45,503"
HJL,5/21/2019,5120,"10,708",100,"54,074"
HJL,5/21/2019,5130,"3,569",78,"24,199"
HJL,5/21/2019,5200,"7,733",62,"45,008"
HJL,5/21/2019,5150,"1,565",76,"9,847"
HJL,5/22/2019,5110,"6,495",31,"38,215"
HJL,5/22/2019,5120,"8,993",98,"45,413"
HJL,5/22/2019,5130,"2,998",76,"20,324"
HJL,5/22/2019,5200,"6,495",62,"37,799"
HJL,5/22/2019,5150,"1,315",76,"8,270"
HJL,5/23/2019,5110,"8,180",32,"48,130"
HJL,5/23/2019,5120,"11,326",101,"57,196"
HJL,5/23/2019,5130,"3,775",79,"25,597"
HJL,5/23/2019,5200,"8,180",63,"47,607"
HJL,5/23/2019,5150,"1,656",78,"10,415"
HJL,5/24/2019,5110,"7,363",31,"43,324"
HJL,5/24/2019,5120,"10,195",100,"51,484"
HJL,5/24/2019,5130,"3,398",78,"23,040"
HJL,5/24/2019,5200,"7,363",62,"42,852"
HJL,5/24/2019,5150,"1,490",78,"9,375"
HJL,5/28/2019,5110,"6,501",31,"38,251"
HJL,5/28/2019,5120,"9,001",100,"45,456"
HJL,5/28/2019,5130,"3,000",78,"20,343"
HJL,5/28/2019,5200,"6,501",62,"37,835"
HJL,5/28/2019,5150,"1,316",76,"8,277"
HJL,5/29/2019,5110,"4,936",31,"29,041"
